month,year,gics_sector,volatility
1,2025,,0.032040972276296084
1,2025,Communication Services,0.012907681689977333
1,2025,Consumer Discretionary,0.016945122660280927
1,2025,Consumer Staples,0.014034679173758712
1,2025,Energy,0.016443219385092828
1,2025,Financials,0.013193243223502953
1,2025,Health Care,0.015418867121922268
1,2025,Industrials,0.015105711081720883
1,2025,Information Technology,0.018398703872363927
1,2025,Materials,0.013728738447117547
1,2025,Real Estate,0.014960462227610619
1,2025,Utilities,0.01995178262685221
2,2025,,0.030784300924605851
2,2025,Communication Services,0.01682561760050862
2,2025,Consumer Discretionary,0.019023976528174759
2,2025,Consumer Staples,0.015352981396163411
2,2025,Energy,0.019313960384173393
2,2025,Financials,0.015547606548638366
2,2025,Health Care,0.017644237957861318
2,2025,Industrials,0.017105926845426323
2,2025,Information Technology,0.024470294500831474
2,2025,Materials,0.014910187725244937
2,2025,Real Estate,0.012880822905459371
2,2025,Utilities,0.016946171258160642
3,2025,,0.034480958199326173
3,2025,Communication Services,0.018855559959894456
3,2025,Consumer Discretionary,0.021391945859391789
3,2025,Consumer Staples,0.017312333293915055
3,2025,Energy,0.018962348897975732
3,2025,Financials,0.017737798724545808
3,2025,Health Care,0.016678383966155653
3,2025,Industrials,0.017732520473315552
3,2025,Information Technology,0.023030025041682781
3,2025,Materials,0.018268032113614972
3,2025,Real Estate,0.014566318849856404
3,2025,Utilities,0.015758831383039015
4,2025,,0.0592938360188767
4,2025,Communication Services,0.033670388661934676
4,2025,Consumer Discretionary,0.036750597589790261
4,2025,Consumer Staples,0.023086309535817143
4,2025,Energy,0.040651825290012454
4,2025,Financials,0.034645090014881565
4,2025,Health Care,0.031322620013141594
4,2025,Industrials,0.03271045312876078
4,2025,Information Technology,0.043390088893902251
4,2025,Materials,0.034701711401943308
4,2025,Real Estate,0.027750194204884227
4,2025,Utilities,0.025061837061952093
5,2025,,0.031711330729966639
5,2025,Communication Services,0.015971738441041772
5,2025,Consumer Discretionary,0.01428989666778282
5,2025,Consumer Staples,0.012590198516913072
5,2025,Energy,0.015361659385595368
5,2025,Financials,0.013313515323890312
5,2025,Health Care,0.018974910582257358
5,2025,Industrials,0.012813679818248531
5,2025,Information Technology,0.016796424758367887
5,2025,Materials,0.013106735735902389
5,2025,Real Estate,0.012053463429316614
5,2025,Utilities,0.01523737242861564
6,2025,,0.030471628888024373
6,2025,Communication Services,0.014643059474801257
6,2025,Consumer Discretionary,0.016163847834885638
6,2025,Consumer Staples,0.013079587965470423
6,2025,Energy,0.016517599355654011
6,2025,Financials,0.012803236148586115
6,2025,Health Care,0.011989161100404194
6,2025,Industrials,0.011484747341685067
6,2025,Information Technology,0.016393538014040206
6,2025,Materials,0.013402196100743047
6,2025,Real Estate,0.010631845027399243
6,2025,Utilities,0.012640840697875558
7,2025,,0.020867270757370073
7,2025,Communication Services,0.014526335704088079
7,2025,Consumer Discretionary,0.016975131069587805
7,2025,Consumer Staples,0.014685290211283845
7,2025,Energy,0.018505048152039329
7,2025,Financials,0.013728107666509091
7,2025,Health Care,0.018337566768734631
7,2025,Industrials,0.015375845944173188
7,2025,Information Technology,0.016957717601573469
7,2025,Materials,0.0173759482594811
7,2025,Real Estate,0.013053081485481477
7,2025,Utilities,0.012137474780955122
8,2025,,0.025743257066122134
8,2025,Communication Services,0.02559013200848894
8,2025,Consumer Discretionary,0.015968225830116572
8,2025,Consumer Staples,0.013239644685383495
8,2025,Energy,0.014284410225196097
8,2025,Financials,0.013466676022275201
8,2025,Health Care,0.015413171008691511
8,2025,Industrials,0.014130247026281984
8,2025,Information Technology,0.019265300093611666
8,2025,Materials,0.017195821092313473
8,2025,Real Estate,0.012612258227019939
8,2025,Utilities,0.012790813768323844
9,2025,,0.024999976468015446
9,2025,Communication Services,0.022776013535030785
9,2025,Consumer Discretionary,0.014747584875369675
9,2025,Consumer Staples,0.014223943654406769
9,2025,Energy,0.015532897336233798
9,2025,Financials,0.013469394709670459
9,2025,Health Care,0.016553816727803615
9,2025,Industrials,0.012998488038927457
9,2025,Information Technology,0.017278105929743385
9,2025,Materials,0.01531220532454541
9,2025,Real Estate,0.01103766290955528
9,2025,Utilities,0.012150806055037376
10,2025,,0.029881235672108878
10,2025,Communication Services,0.016321767917046336
10,2025,Consumer Discretionary,0.018619901437269874
10,2025,Consumer Staples,0.015194859285544149
10,2025,Energy,0.017273831642078845
10,2025,Financials,0.0167975316300637
10,2025,Health Care,0.018316643951132625
10,2025,Industrials,0.017531682289901356
10,2025,Information Technology,0.026530873837054238
10,2025,Materials,0.019201643828874522
10,2025,Real Estate,0.013268725762495957
10,2025,Utilities,0.01358714185178404
11,2025,,0.040526817921878
11,2025,Communication Services,0.017288588549602871
11,2025,Consumer Discretionary,0.02001780643718281
11,2025,Consumer Staples,0.014114358190953762
11,2025,Energy,0.016373371567697914
11,2025,Financials,0.0157910848378038
11,2025,Health Care,0.017296489778398493
11,2025,Industrials,0.017540821073364927
11,2025,Information Technology,0.026805731549095504
11,2025,Materials,0.018261040814836673
11,2025,Real Estate,0.012311401152726319
11,2025,Utilities,0.013591692288701997
12,2025,,0.032045690557116389
12,2025,Communication Services,0.014055585087486925
12,2025,Consumer Discretionary,0.015212888599046031
12,2025,Consumer Staples,0.013195750281329507
12,2025,Energy,0.015004124832781447
12,2025,Financials,0.01288116234557034
12,2025,Health Care,0.014149233379362365
12,2025,Industrials,0.013878379376825239
12,2025,Information Technology,0.019533731051973782
12,2025,Materials,0.015045954032678353
12,2025,Real Estate,0.011535715303812822
12,2025,Utilities,0.012648679371466787